voltage,current,min_power,max_power,resistance
650.000,11.041,-150000.000,150000.000,0.000
650.000,11.204,-150000.000,150000.000,0.000
650.000,11.362,-150000.000,150000.000,0.000
650.000,11.515,-150000.000,150000.000,0.000
650.000,11.662,-150000.000,150000.000,0.000
650.000,11.803,-150000.000,150000.000,0.000
650.000,11.936,-150000.000,150000.000,0.000
650.000,12.062,-150000.000,150000.000,0.000
650.000,12.179,-150000.000,150000.000,0.000
650.000,12.288,-150000.000,150000.000,0.000
650.000,12.388,-150000.000,150000.000,0.000
650.000,12.478,-150000.000,150000.000,0.000
650.000,12.559,-150000.000,150000.000,0.000
650.000,12.629,-150000.000,150000.000,0.000
650.000,12.690,-150000.000,150000.000,0.000
650.000,12.739,-150000.000,150000.000,0.000
650.000,12.778,-150000.000,150000.000,0.000
650.000,12.806,-150000.000,150000.000,0.000
650.000,12.822,-150000.000,150000.000,0.000
650.000,12.828,-150000.000,150000.000,0.000
650.000,12.822,-150000.000,150000.000,0.000
650.000,12.806,-150000.000,150000.000,0.000
650.000,12.778,-150000.000,150000.000,0.000
650.000,12.739,-150000.000,150000.000,0.000
650.000,12.690,-150000.000,150000.000,0.000
650.000,12.629,-150000.000,150000.000,0.000
650.000,12.559,-150000.000,150000.000,0.000
650.000,12.478,-150000.000,150000.000,0.000
650.000,12.388,-150000.000,150000.000,0.000
650.000,12.288,-150000.000,150000.000,0.000
650.000,12.179,-150000.000,150000.000,0.000
650.000,12.062,-150000.000,150000.000,0.000
650.000,11.936,-150000.000,150000.000,0.000
650.000,11.803,-150000.000,150000.000,0.000
650.000,11.662,-150000.000,150000.000,0.000
650.000,11.515,-150000.000,150000.000,0.000
650.000,11.362,-150000.000,150000.000,0.000
650.000,11.204,-150000.000,150000.000,0.000
650.000,11.041,-150000.000,150000.000,0.000
650.000,10.874,-150000.000,150000.000,0.000
650.000,10.703,-150000.000,150000.000,0.000
650.000,10.530,-150000.000,150000.000,0.000
650.000,10.354,-150000.000,150000.000,0.000
650.000,10.178,-150000.000,150000.000,0.000
650.000,10.000,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.646,-150000.000,150000.000,0.000
650.000,9.470,-150000.000,150000.000,0.000
650.000,9.297,-150000.000,150000.000,0.000
650.000,9.126,-150000.000,150000.000,0.000
650.000,8.959,-150000.000,150000.000,0.000
650.000,8.796,-150000.000,150000.000,0.000
650.000,8.638,-150000.000,150000.000,0.000
650.000,8.485,-150000.000,150000.000,0.000
650.000,8.338,-150000.000,150000.000,0.000
650.000,8.197,-150000.000,150000.000,0.000
650.000,8.064,-150000.000,150000.000,0.000
650.000,7.938,-150000.000,150000.000,0.000
650.000,7.821,-150000.000,150000.000,0.000
650.000,7.712,-150000.000,150000.000,0.000
650.000,7.612,-150000.000,150000.000,0.000
650.000,7.522,-150000.000,150000.000,0.000
650.000,7.441,-150000.000,150000.000,0.000
650.000,7.371,-150000.000,150000.000,0.000
650.000,7.310,-150000.000,150000.000,0.000
650.000,7.261,-150000.000,150000.000,0.000
650.000,7.222,-150000.000,150000.000,0.000
650.000,7.194,-150000.000,150000.000,0.000
650.000,7.178,-150000.000,150000.000,0.000
650.000,7.172,-150000.000,150000.000,0.000
650.000,7.178,-150000.000,150000.000,0.000
650.000,7.194,-150000.000,150000.000,0.000
650.000,7.222,-150000.000,150000.000,0.000
650.000,7.261,-150000.000,150000.000,0.000
650.000,7.310,-150000.000,150000.000,0.000
650.000,7.371,-150000.000,150000.000,0.000
650.000,7.441,-150000.000,150000.000,0.000
650.000,7.522,-150000.000,150000.000,0.000
650.000,7.612,-150000.000,150000.000,0.000
650.000,7.712,-150000.000,150000.000,0.000
650.000,7.821,-150000.000,150000.000,0.000
650.000,7.938,-150000.000,150000.000,0.000
650.000,8.064,-150000.000,150000.000,0.000
650.000,8.197,-150000.000,150000.000,0.000
650.000,8.338,-150000.000,150000.000,0.000
650.000,8.485,-150000.000,150000.000,0.000
650.000,8.638,-150000.000,150000.000,0.000
650.000,8.796,-150000.000,150000.000,0.000
650.000,8.959,-150000.000,150000.000,0.000
650.000,9.126,-150000.000,150000.000,0.000
650.000,9.297,-150000.000,150000.000,0.000
650.000,9.470,-150000.000,150000.000,0.000
650.000,9.646,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,10.000,-150000.000,150000.000,0.000
650.000,10.178,-150000.000,150000.000,0.000
650.000,10.354,-150000.000,150000.000,0.000
650.000,10.530,-150000.000,150000.000,0.000
650.000,10.703,-150000.000,150000.000,0.000
650.000,10.874,-150000.000,150000.000,0.000
650.000,11.041,-150000.000,150000.000,0.000
650.000,11.204,-150000.000,150000.000,0.000
650.000,11.362,-150000.000,150000.000,0.000
650.000,11.515,-150000.000,150000.000,0.000
650.000,11.662,-150000.000,150000.000,0.000
650.000,11.803,-150000.000,150000.000,0.000
650.000,11.936,-150000.000,150000.000,0.000
650.000,12.062,-150000.000,150000.000,0.000
650.000,12.179,-150000.000,150000.000,0.000
650.000,12.288,-150000.000,150000.000,0.000
650.000,12.388,-150000.000,150000.000,0.000
650.000,12.478,-150000.000,150000.000,0.000
650.000,12.559,-150000.000,150000.000,0.000
650.000,12.629,-150000.000,150000.000,0.000
650.000,12.690,-150000.000,150000.000,0.000
650.000,12.739,-150000.000,150000.000,0.000
650.000,12.778,-150000.000,150000.000,0.000
650.000,12.806,-150000.000,150000.000,0.000
650.000,12.822,-150000.000,150000.000,0.000
650.000,12.828,-150000.000,150000.000,0.000
650.000,12.822,-150000.000,150000.000,0.000
650.000,12.806,-150000.000,150000.000,0.000
650.000,12.778,-150000.000,150000.000,0.000
650.000,12.739,-150000.000,150000.000,0.000
650.000,12.690,-150000.000,150000.000,0.000
650.000,12.629,-150000.000,150000.000,0.000
650.000,12.559,-150000.000,150000.000,0.000
650.000,12.478,-150000.000,150000.000,0.000
650.000,12.388,-150000.000,150000.000,0.000
650.000,12.288,-150000.000,150000.000,0.000
650.000,12.179,-150000.000,150000.000,0.000
650.000,12.062,-150000.000,150000.000,0.000
650.000,11.936,-150000.000,150000.000,0.000
650.000,11.803,-150000.000,150000.000,0.000
650.000,11.662,-150000.000,150000.000,0.000
650.000,11.515,-150000.000,150000.000,0.000
650.000,11.362,-150000.000,150000.000,0.000
650.000,11.204,-150000.000,150000.000,0.000
650.000,11.041,-150000.000,150000.000,0.000
650.000,10.874,-150000.000,150000.000,0.000
650.000,10.703,-150000.000,150000.000,0.000
650.000,10.530,-150000.000,150000.000,0.000
650.000,10.354,-150000.000,150000.000,0.000
650.000,10.178,-150000.000,150000.000,0.000
650.000,10.000,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.646,-150000.000,150000.000,0.000
650.000,9.470,-150000.000,150000.000,0.000
650.000,9.297,-150000.000,150000.000,0.000
650.000,9.126,-150000.000,150000.000,0.000
650.000,8.959,-150000.000,150000.000,0.000
650.000,8.796,-150000.000,150000.000,0.000
650.000,8.638,-150000.000,150000.000,0.000
650.000,8.485,-150000.000,150000.000,0.000
650.000,8.338,-150000.000,150000.000,0.000
650.000,8.197,-150000.000,150000.000,0.000
650.000,8.064,-150000.000,150000.000,0.000
650.000,7.938,-150000.000,150000.000,0.000
650.000,7.821,-150000.000,150000.000,0.000
650.000,7.712,-150000.000,150000.000,0.000
650.000,7.612,-150000.000,150000.000,0.000
650.000,7.522,-150000.000,150000.000,0.000
650.000,7.441,-150000.000,150000.000,0.000
650.000,7.371,-150000.000,150000.000,0.000
650.000,7.310,-150000.000,150000.000,0.000
650.000,7.261,-150000.000,150000.000,0.000
650.000,7.222,-150000.000,150000.000,0.000
650.000,7.194,-150000.000,150000.000,0.000
650.000,7.178,-150000.000,150000.000,0.000
650.000,7.172,-150000.000,150000.000,0.000
650.000,7.178,-150000.000,150000.000,0.000
650.000,7.194,-150000.000,150000.000,0.000
650.000,7.222,-150000.000,150000.000,0.000
650.000,7.261,-150000.000,150000.000,0.000
650.000,7.310,-150000.000,150000.000,0.000
650.000,7.371,-150000.000,150000.000,0.000
650.000,7.441,-150000.000,150000.000,0.000
650.000,7.522,-150000.000,150000.000,0.000
650.000,7.612,-150000.000,150000.000,0.000
650.000,7.712,-150000.000,150000.000,0.000
650.000,7.821,-150000.000,150000.000,0.000
650.000,7.938,-150000.000,150000.000,0.000
650.000,8.064,-150000.000,150000.000,0.000
650.000,8.197,-150000.000,150000.000,0.000
650.000,8.338,-150000.000,150000.000,0.000
650.000,8.485,-150000.000,150000.000,0.000
650.000,8.638,-150000.000,150000.000,0.000
650.000,8.796,-150000.000,150000.000,0.000
650.000,8.959,-150000.000,150000.000,0.000
650.000,9.126,-150000.000,150000.000,0.000
650.000,9.297,-150000.000,150000.000,0.000
650.000,9.470,-150000.000,150000.000,0.000
650.000,9.646,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,10.000,-150000.000,150000.000,0.000
650.000,10.178,-150000.000,150000.000,0.000
650.000,10.354,-150000.000,150000.000,0.000
650.000,10.530,-150000.000,150000.000,0.000
650.000,10.703,-150000.000,150000.000,0.000
650.000,10.874,-150000.000,150000.000,0.000
650.000,11.041,-150000.000,150000.000,0.000
650.000,11.204,-150000.000,150000.000,0.000
650.000,11.362,-150000.000,150000.000,0.000
650.000,11.515,-150000.000,150000.000,0.000
650.000,11.662,-150000.000,150000.000,0.000
650.000,11.803,-150000.000,150000.000,0.000
650.000,11.936,-150000.000,150000.000,0.000
650.000,12.062,-150000.000,150000.000,0.000
650.000,12.179,-150000.000,150000.000,0.000
650.000,12.288,-150000.000,150000.000,0.000
650.000,12.388,-150000.000,150000.000,0.000
650.000,12.478,-150000.000,150000.000,0.000
650.000,12.559,-150000.000,150000.000,0.000
650.000,12.629,-150000.000,150000.000,0.000
650.000,12.690,-150000.000,150000.000,0.000
650.000,12.739,-150000.000,150000.000,0.000
650.000,12.778,-150000.000,150000.000,0.000
650.000,12.806,-150000.000,150000.000,0.000
650.000,12.822,-150000.000,150000.000,0.000
650.000,12.828,-150000.000,150000.000,0.000
650.000,12.822,-150000.000,150000.000,0.000
650.000,12.806,-150000.000,150000.000,0.000
650.000,12.778,-150000.000,150000.000,0.000
650.000,12.739,-150000.000,150000.000,0.000
650.000,12.690,-150000.000,150000.000,0.000
650.000,12.629,-150000.000,150000.000,0.000
650.000,12.559,-150000.000,150000.000,0.000
650.000,12.478,-150000.000,150000.000,0.000
650.000,12.388,-150000.000,150000.000,0.000
650.000,12.288,-150000.000,150000.000,0.000
650.000,12.179,-150000.000,150000.000,0.000
650.000,12.062,-150000.000,150000.000,0.000
650.000,11.936,-150000.000,150000.000,0.000
650.000,11.803,-150000.000,150000.000,0.000
650.000,11.662,-150000.000,150000.000,0.000
650.000,11.515,-150000.000,150000.000,0.000
650.000,11.362,-150000.000,150000.000,0.000
650.000,11.204,-150000.000,150000.000,0.000
650.000,11.041,-150000.000,150000.000,0.000
650.000,10.874,-150000.000,150000.000,0.000
650.000,10.703,-150000.000,150000.000,0.000
650.000,10.530,-150000.000,150000.000,0.000
650.000,10.354,-150000.000,150000.000,0.000
650.000,10.178,-150000.000,150000.000,0.000
650.000,10.000,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.646,-150000.000,150000.000,0.000
650.000,9.470,-150000.000,150000.000,0.000
650.000,9.297,-150000.000,150000.000,0.000
650.000,9.126,-150000.000,150000.000,0.000
650.000,8.959,-150000.000,150000.000,0.000
650.000,8.796,-150000.000,150000.000,0.000
650.000,8.638,-150000.000,150000.000,0.000
650.000,8.485,-150000.000,150000.000,0.000
650.000,8.338,-150000.000,150000.000,0.000
650.000,8.197,-150000.000,150000.000,0.000
650.000,8.064,-150000.000,150000.000,0.000
650.000,7.938,-150000.000,150000.000,0.000
650.000,7.821,-150000.000,150000.000,0.000
650.000,7.712,-150000.000,150000.000,0.000
650.000,7.612,-150000.000,150000.000,0.000
650.000,7.522,-150000.000,150000.000,0.000
650.000,7.441,-150000.000,150000.000,0.000
650.000,7.371,-150000.000,150000.000,0.000
650.000,7.310,-150000.000,150000.000,0.000
650.000,7.261,-150000.000,150000.000,0.000
650.000,7.222,-150000.000,150000.000,0.000
650.000,7.194,-150000.000,150000.000,0.000
650.000,7.178,-150000.000,150000.000,0.000
650.000,7.172,-150000.000,150000.000,0.000
650.000,7.178,-150000.000,150000.000,0.000
650.000,7.194,-150000.000,150000.000,0.000
650.000,7.222,-150000.000,150000.000,0.000
650.000,7.261,-150000.000,150000.000,0.000
650.000,7.310,-150000.000,150000.000,0.000
650.000,7.371,-150000.000,150000.000,0.000
650.000,7.441,-150000.000,150000.000,0.000
650.000,7.522,-150000.000,150000.000,0.000
650.000,7.612,-150000.000,150000.000,0.000
650.000,7.712,-150000.000,150000.000,0.000
650.000,7.821,-150000.000,150000.000,0.000
650.000,7.938,-150000.000,150000.000,0.000
650.000,8.064,-150000.000,150000.000,0.000
650.000,8.197,-150000.000,150000.000,0.000
650.000,8.338,-150000.000,150000.000,0.000
650.000,8.485,-150000.000,150000.000,0.000
650.000,8.638,-150000.000,150000.000,0.000
650.000,8.796,-150000.000,150000.000,0.000
650.000,8.959,-150000.000,150000.000,0.000
650.000,9.126,-150000.000,150000.000,0.000
650.000,9.297,-150000.000,150000.000,0.000
650.000,9.470,-150000.000,150000.000,0.000
650.000,9.646,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,10.000,-150000.000,150000.000,0.000
650.000,10.178,-150000.000,150000.000,0.000
650.000,10.354,-150000.000,150000.000,0.000
650.000,10.530,-150000.000,150000.000,0.000
650.000,10.703,-150000.000,150000.000,0.000
650.000,10.874,-150000.000,150000.000,0.000
650.000,11.041,-150000.000,150000.000,0.000
650.000,11.204,-150000.000,150000.000,0.000
650.000,11.362,-150000.000,150000.000,0.000
650.000,11.515,-150000.000,150000.000,0.000
650.000,11.662,-150000.000,150000.000,0.000
650.000,11.803,-150000.000,150000.000,0.000
650.000,11.936,-150000.000,150000.000,0.000
650.000,12.062,-150000.000,150000.000,0.000
650.000,12.179,-150000.000,150000.000,0.000
650.000,12.288,-150000.000,150000.000,0.000
650.000,12.388,-150000.000,150000.000,0.000
650.000,12.478,-150000.000,150000.000,0.000
650.000,12.559,-150000.000,150000.000,0.000
650.000,12.629,-150000.000,150000.000,0.000
650.000,12.690,-150000.000,150000.000,0.000
650.000,12.739,-150000.000,150000.000,0.000
650.000,12.778,-150000.000,150000.000,0.000
650.000,12.806,-150000.000,150000.000,0.000
650.000,12.822,-150000.000,150000.000,0.000
650.000,12.828,-150000.000,150000.000,0.000
650.000,12.822,-150000.000,150000.000,0.000
650.000,12.806,-150000.000,150000.000,0.000
650.000,12.778,-150000.000,150000.000,0.000
650.000,12.739,-150000.000,150000.000,0.000
650.000,12.690,-150000.000,150000.000,0.000
650.000,12.629,-150000.000,150000.000,0.000
650.000,12.559,-150000.000,150000.000,0.000
650.000,12.478,-150000.000,150000.000,0.000
650.000,12.388,-150000.000,150000.000,0.000
650.000,12.288,-150000.000,150000.000,0.000
650.000,12.179,-150000.000,150000.000,0.000
650.000,12.062,-150000.000,150000.000,0.000
650.000,11.936,-150000.000,150000.000,0.000
650.000,11.803,-150000.000,150000.000,0.000
650.000,11.662,-150000.000,150000.000,0.000
650.000,11.515,-150000.000,150000.000,0.000
650.000,11.362,-150000.000,150000.000,0.000
650.000,11.204,-150000.000,150000.000,0.000
650.000,11.041,-150000.000,150000.000,0.000
650.000,10.874,-150000.000,150000.000,0.000
650.000,10.703,-150000.000,150000.000,0.000
650.000,10.530,-150000.000,150000.000,0.000
650.000,10.354,-150000.000,150000.000,0.000
650.000,10.178,-150000.000,150000.000,0.000
650.000,10.000,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.646,-150000.000,150000.000,0.000
650.000,9.470,-150000.000,150000.000,0.000
650.000,9.297,-150000.000,150000.000,0.000
650.000,9.126,-150000.000,150000.000,0.000
650.000,8.959,-150000.000,150000.000,0.000
650.000,8.796,-150000.000,150000.000,0.000
650.000,8.638,-150000.000,150000.000,0.000
650.000,8.485,-150000.000,150000.000,0.000
650.000,8.338,-150000.000,150000.000,0.000
650.000,8.197,-150000.000,150000.000,0.000
650.000,8.064,-150000.000,150000.000,0.000
650.000,7.938,-150000.000,150000.000,0.000
650.000,7.821,-150000.000,150000.000,0.000
650.000,7.712,-150000.000,150000.000,0.000
650.000,7.612,-150000.000,150000.000,0.000
650.000,7.522,-150000.000,150000.000,0.000
650.000,7.441,-150000.000,150000.000,0.000
650.000,7.371,-150000.000,150000.000,0.000
650.000,7.310,-150000.000,150000.000,0.000
650.000,7.261,-150000.000,150000.000,0.000
650.000,7.222,-150000.000,150000.000,0.000
650.000,7.194,-150000.000,150000.000,0.000
650.000,7.178,-150000.000,150000.000,0.000
650.000,7.172,-150000.000,150000.000,0.000
650.000,7.178,-150000.000,150000.000,0.000
650.000,7.194,-150000.000,150000.000,0.000
650.000,7.222,-150000.000,150000.000,0.000
650.000,7.261,-150000.000,150000.000,0.000
650.000,7.310,-150000.000,150000.000,0.000
650.000,7.371,-150000.000,150000.000,0.000
650.000,7.441,-150000.000,150000.000,0.000
650.000,7.522,-150000.000,150000.000,0.000
650.000,7.612,-150000.000,150000.000,0.000
650.000,7.712,-150000.000,150000.000,0.000
650.000,7.821,-150000.000,150000.000,0.000
650.000,7.938,-150000.000,150000.000,0.000
650.000,8.064,-150000.000,150000.000,0.000
650.000,8.197,-150000.000,150000.000,0.000
650.000,8.338,-150000.000,150000.000,0.000
650.000,8.485,-150000.000,150000.000,0.000
650.000,8.638,-150000.000,150000.000,0.000
650.000,8.796,-150000.000,150000.000,0.000
650.000,8.959,-150000.000,150000.000,0.000
650.000,9.126,-150000.000,150000.000,0.000
650.000,9.297,-150000.000,150000.000,0.000
650.000,9.470,-150000.000,150000.000,0.000
650.000,9.646,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
650.000,9.822,-150000.000,150000.000,0.000
